livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price
1,Советский,2026.0,5,9,кирпич,52.8,14.9,24.1,16010998
2,Советский,2027.0,13,18,кирпич,66.3,33.9,18.9,11337300
3,Приокский,2025.0,18,18,блок+утеплитель,89.7,44.4,16.3,22873500
1,Приокский,2025.0,10,18,блок+утеплитель,49.0,17.7,14.9,10290000
2,Советский,2027.0,13,18,кирпич,54.6,25.8,14.0,9336600
3,Канавинский,1988.0,6,14,кирпич,62.0,44.8,8.2,10950000
2,Автозаводский,2026.0,6,8,блок+утеплитель,65.4,24.2,19.3,12112081
3,Канавинский,2026.0,24,24,блок+утеплитель,112.7,46.4,33.0,28990000
1,Советский,1961.0,0,4,кирпич,51.5,39.0,9.5,3950000
3,Нижегородский,2026.0,10,17,блок+утеплитель,109.59,50.78,26.67,33282941
1,Нижегородский,1979.0,3,7,кирпич,39.9,15.0,20.0,9200000
1,Автозаводский,2027.0,2,4,кирпич,43.6,15.2,14.6,6690000
3,Автозаводский,1949.0,1,2,шлакоблок,53.4,34.4,6.6,5300000
2,Автозаводский,2026.0,6,8,блок+утеплитель,69.3,29.1,18.5,12829834
4,Канавинский,2026.0,23,24,блок+утеплитель,133.9,70.8,26.2,39800000
0,Канавинский,2026.0,9,24,блок+утеплитель,19.6,9.1,0.0,7490000
1,Канавинский,2026.0,23,24,блок+утеплитель,38.1,10.6,14.9,11290000
2,Автозаводский,2027.0,2,4,кирпич,58.8,29.5,11.3,8690000
1,Канавинский,2026.0,8,24,блок+утеплитель,38.1,10.6,14.9,9890000
1,Автозаводский,2027.0,4,4,кирпич,36.4,11.3,14.5,5890000
1,Автозаводский,2027.0,4,4,кирпич,37.3,14.2,12.2,6190000
2,Канавинский,2026.0,6,24,блок+утеплитель,67.8,29.4,17.5,17490000
2,Канавинский,2026.0,4,24,блок+утеплитель,70.5,34.2,18.2,16790000
2,Канавинский,2026.0,5,24,блок+утеплитель,70.5,34.2,18.2,17090000
3,Советский,2026.0,7,9,кирпич,72.7,39.1,13.0,21933070
2,Канавинский,1978.0,1,9,панель,49.8,30.0,7.2,8900000
3,Советский,2026.0,5,9,кирпич,87.2,40.4,19.6,25541763
0,Канавинский,2026.0,21,24,блок+утеплитель,41.4,13.0,16.0,11290000
3,Московский,2018.0,6,10,панель,45.7,31.7,8.4,7350000
2,Автозаводский,1961.0,2,3,шлакоблок,39.0,28.0,5.0,3700000
2,Автозаводский,1989.0,7,9,панель,50.0,34.3,9.0,6899000
0,Канавинский,1977.0,1,9,панель,19.0,11.0,1.0,3200000
4,Московский,,7,16,кирпич,127.0,64.5,11.0,12900000
1,Автозаводский,2026.0,5,8,блок+утеплитель,46.6,13.3,21.3,8695983
1,Советский,2027.0,9,18,кирпич,44.2,13.4,16.6,7779200
2,Канавинский,2026.0,5,24,блок+утеплитель,71.1,34.1,18.4,16990000
2,Советский,1995.0,1,10,кирпич,66.9,23.0,27.5,12290000
