livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price,log_price
1,Советский,2026.0,5,9,кирпич,52.8,14.9,24.1,16010998,16.58878641907006
2,Советский,2027.0,13,18,кирпич,66.3,33.9,18.9,11337300,16.243608732676613
3,Приокский,2025.0,18,18,блок+утеплитель,89.7,44.4,16.3,22873500,16.945489593205313
1,Приокский,2025.0,10,18,блок+утеплитель,49.0,17.7,14.9,10290000,16.146683107810233
2,Советский,2027.0,13,18,кирпич,54.6,25.8,14.0,9336600,16.049452718235656
3,Канавинский,1988.0,6,14,кирпич,62.0,44.8,8.2,10950000,16.208850014226783
2,Автозаводский,2026.0,6,8,блок+утеплитель,65.4,24.2,19.3,12112081,16.309713942219567
3,Канавинский,2026.0,24,24,блок+утеплитель,112.7,46.4,33.0,28990000,17.182461500897837
1,Советский,1961.0,0,4,кирпич,51.5,39.0,9.5,3950000,15.189226136877304
3,Нижегородский,2026.0,10,17,блок+утеплитель,109.59,50.78,26.67,33282941,17.320555541406993
1,Нижегородский,1979.0,3,7,кирпич,39.9,15.0,20.0,9200000,16.034714042019267
1,Автозаводский,2027.0,2,4,кирпич,43.6,15.2,14.6,6690000,15.716124432104412
3,Автозаводский,1949.0,1,2,шлакоблок,53.4,34.4,6.6,5300000,15.483217378522351
2,Автозаводский,2026.0,6,8,блок+утеплитель,69.3,29.1,18.5,12829834,16.367283798082553
0,Канавинский,2026.0,9,24,блок+утеплитель,19.6,9.1,0.0,7490000,15.829079355493402
1,Канавинский,2026.0,23,24,блок+утеплитель,38.1,10.6,14.9,11290000,16.239427936125846
2,Автозаводский,2027.0,2,4,кирпич,58.8,29.5,11.3,8690000,15.977683497241575
1,Канавинский,2026.0,8,24,блок+утеплитель,38.1,10.6,14.9,9890000,16.107034703598895
1,Автозаводский,2027.0,4,4,кирпич,36.4,11.3,14.5,5890000,15.58876655562777
1,Автозаводский,2027.0,4,4,кирпич,37.3,14.2,12.2,6190000,15.638445644660779
2,Канавинский,2026.0,6,24,блок+утеплитель,67.8,29.4,17.5,17490000,16.677139846994784
2,Канавинский,2026.0,4,24,блок+утеплитель,70.5,34.2,18.2,16790000,16.636294029053722
2,Канавинский,2026.0,5,24,блок+утеплитель,70.5,34.2,18.2,17090000,16.654004055091775
3,Советский,2026.0,7,9,кирпич,72.7,39.1,13.0,21933070,16.903506101476335
2,Канавинский,1978.0,1,9,панель,49.8,30.0,7.2,8900000,16.00156183470237
3,Советский,2026.0,5,9,кирпич,87.2,40.4,19.6,25541763,17.055825435160436
0,Канавинский,2026.0,21,24,блок+утеплитель,41.4,13.0,16.0,11290000,16.239427936125846
3,Московский,2018.0,6,10,панель,45.7,31.7,8.4,7350000,15.81021087118902
2,Автозаводский,1961.0,2,3,шлакоблок,39.0,28.0,5.0,3700000,15.123843377614453
2,Автозаводский,1989.0,7,9,панель,50.0,34.3,9.0,6899000,15.746887031528246
0,Канавинский,1977.0,1,9,панель,19.0,11.0,1.0,3200000,14.978661367769956
1,Автозаводский,2026.0,5,8,блок+утеплитель,46.6,13.3,21.3,8695983,15.978371752859468
1,Советский,2027.0,9,18,кирпич,44.2,13.4,16.6,7779200,15.866964063103941
2,Канавинский,2026.0,5,24,блок+утеплитель,71.1,34.1,18.4,16990000,16.648135493648116
2,Советский,1995.0,1,10,кирпич,66.9,23.0,27.5,12290000,16.324296481542216
2,Автозаводский,2027.0,4,4,кирпич,58.6,29.5,11.3,8790000,15.98912526966136
1,Советский,2027.0,13,18,кирпич,39.3,14.2,14.5,7074000,15.771936648747563
1,Канавинский,2026.0,2,24,блок+утеплитель,39.9,10.7,19.1,9690000,16.08660498386695
3,Автозаводский,2026.0,5,8,блок+утеплитель,74.2,34.5,18.5,13585293,16.42449836851578
1,Автозаводский,2026.0,5,8,блок+утеплитель,46.1,13.3,21.5,8602704,15.967587130409216
2,Автозаводский,1960.0,2,3,шлакоблок,35.9,22.9,4.5,3300000,15.009433026436708
2,Канавинский,2026.0,3,24,блок+утеплитель,71.1,34.1,18.4,16790000,16.636294029053722
